id,name,en_name,code,user_type_id/id
__export__.account_account_211_4746bc4a,Phải trả người lao động,Payables to employees,334,account.data_account_type_current_liabilities
l10n_vn.1_chart3341,Phải trả công nhân viên,Payables to staff,3341,account.data_account_type_current_liabilities
l10n_vn.1_chart3348,Phải trả người lao động khác,Payables to other employees,3348,account.data_account_type_current_liabilities
l10n_vn.1_chart335,Chi phí phải trả,Accrued expenses,335,account.data_account_type_current_liabilities
__export__.account_account_212_86460df4,Trích trước chi phi lãi vay,Accruing interest expenses from loans payable,3351,account.data_account_type_current_liabilities
__export__.account_account_251_53f06394,Chi phí phải trả khác,Accrued expenses - others,3352,account.data_account_type_current_liabilities
__export__.account_account_213_cdb2f2b6,Phải trả nội bộ,Intra-company payables,336,account.data_account_type_current_liabilities
l10n_vn.1_chart3361,Phải trả nội bộ về vốn kinh doanh,Intra-company payables for operating capital received,3361,account.data_account_type_current_liabilities
l10n_vn.1_chart3362,Phải trả nội bộ về vốn chênh lệch tỷ giá,Intra-company payables on foreign exchange differences,3362,account.data_account_type_current_liabilities
l10n_vn.1_chart3363,Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá,Intra-company payables on borrowing costs eligible to be capitalized,3363,account.data_account_type_current_liabilities
l10n_vn.1_chart3368,Phải trả nội bộ khác,Other intra-company payables,3368,account.data_account_type_current_liabilities
l10n_vn.1_chart337,Thanh toán theo tiến độ kế hoạch hợp đồng xây dựng,Construction progress-based billings,337,account.data_account_type_current_liabilities
__export__.account_account_214_0fbe790e,"Phải trả, phải nộp khác",Other payables,338,account.data_account_type_current_liabilities
l10n_vn.1_chart3381,Tài sản thừa chờ giải quyết,Surplus of assets awaiting resolution,3381,account.data_account_type_current_liabilities
l10n_vn.1_chart3382,Kinh phí công đoàn,Trade union fees,3382,account.data_account_type_current_liabilities
l10n_vn.1_chart3383,Bảo hiểm xã hội,Social insurance,3383,account.data_account_type_current_liabilities
l10n_vn.1_chart3384,Bảo hiểm y tế,Health insurance,3384,account.data_account_type_current_liabilities
l10n_vn.1_chart3385,Phải trả về cổ phần hóa,Payables concerning equitization,3385,account.data_account_type_current_liabilities
l10n_vn.1_chart3386,Bảo hiểm thất nghiệp,Unemployment insurance,3386,account.data_account_type_current_liabilities
l10n_vn.1_chart3387,Doanh thu chưa thực hiện,Unearned revenue,3387,account.data_account_type_current_liabilities
l10n_vn.1_chart3388,"Phải trả, phải nộp khác",Other payables,3388,account.data_account_type_current_liabilities
__export__.account_account_215_be887a18,Vay và nợ thuê tài chính,Borrowings and finance lease liabilities,341,account.data_account_type_current_liabilities
l10n_vn.1_chart3411,Các khoản đi vay,Borrowings,3411,account.data_account_type_current_liabilities
l10n_vn.1_chart3412,Nợ thuê tài chính,Finance lease liabilities,3412,account.data_account_type_current_liabilities
__export__.account_account_216_968b0e9f,Trái phiếu phát hành,Issued bonds,343,account.data_account_type_current_liabilities
l10n_vn.1_chart3431,Trái phiếu,Ordinary bonds,3431,account.data_account_type_current_liabilities
l10n_vn.1_chart34311,Mệnh giá trái phiếu,Par value of bonds,34311,account.data_account_type_current_liabilities
l10n_vn.1_chart34312,Chiết khấu trái phiếu,Bond discounts,34312,account.data_account_type_current_liabilities
l10n_vn.1_chart34313,Phụ trội trái phiếu,Bond premiums,34313,account.data_account_type_equity
l10n_vn.1_chart3432,Trái phiếu chuyển đổi,Convertible bonds,3432,account.data_account_type_current_liabilities
l10n_vn.1_chart344,"Nhận ký quỹ, ký cược dài hạn",Deposits received,344,account.data_account_type_current_liabilities
l10n_vn.1_chart347,Thuế thu nhập hoãn lại phải trả,Deferred tax liabilities,347,account.data_account_type_current_liabilities
__export__.account_account_217_ed269f05,Dự phòng phải trả,Provisions,352,account.data_account_type_current_liabilities
l10n_vn.1_chart3521,Dự phòng bảo hành sản phẩm hàng hóa,Product warranty provisions,3521,account.data_account_type_current_liabilities
l10n_vn.1_chart3522,Dự phòng bảo hành công trình xây dựng,Construction warranty provisions,3522,account.data_account_type_current_liabilities
l10n_vn.1_chart3523,Dự phòng tái cơ cấu doanh nghiệp,Enterprise restructuring provisions,3523,account.data_account_type_current_liabilities
l10n_vn.1_chart3524,Dự phòng phải trả khác,Other provisions,3524,account.data_account_type_current_liabilities
__export__.account_account_218_d6020435,Quỹ khen thưởng phúc lợi,Bonus and welfare fund,353,account.data_account_type_current_liabilities
l10n_vn.1_chart3531,Quỹ khen thưởng,Bonus fund,3531,account.data_account_type_current_liabilities
l10n_vn.1_chart3532,Quỹ phúc lợi,Welfare fund,3532,account.data_account_type_current_liabilities
l10n_vn.1_chart3533,Quỹ phúc lợi đã hình thành TSCĐ,Welfare fund used for fixed asset acquisitions,3533,account.data_account_type_current_liabilities
l10n_vn.1_chart3534,Quỹ thưởng ban quản lý điều hành công ty,Management bonus fund,3534,account.data_account_type_current_liabilities
__export__.account_account_219_c17e7cd6,Quỹ phát triển khoa học và công nghệ,Science and technology development fund,356,account.data_account_type_current_liabilities
l10n_vn.1_chart3561,Quỹ phát triển khoa học và công nghệ,Science and technology development fund,3561,account.data_account_type_current_liabilities
l10n_vn.1_chart3562,Quỹ phát triển khoa học và công nghệ đã hình thành TSCĐ,Science and technology development fund used for fixed asset acquisition,3562,account.data_account_type_equity
l10n_vn.1_chart357,Quỹ bình ổn giá,Price stabilization fund,357,account.data_account_type_current_liabilities
__export__.account_account_220_a91d89cf,Vốn đầu tư của chủ sở hữu,Invested capital,411,account.data_account_type_equity
l10n_vn.1_chart4111,Vốn đầu tư chủ sỡ hữu,Contributed capital,4111,account.data_account_type_equity
l10n_vn.1_chart41111,Cổ phiếu phổ thông có quyền biểu quyết,Ordinary shares with voting rights,41111,account.data_account_type_equity
l10n_vn.1_chart41112,Cổ phiếu ưu đãi,Preferred stocks,41112,account.data_account_type_equity
__export__.account_account_252_e1f6a3b1,Cổ phiếu ưu đãi phân loại vốn CSH,Preferred stocks - equity,411121,account.data_account_type_equity
__export__.account_account_253_064df7c7,Cổ phiếu ưu đãi phân loại nợ phải trả,Preferred stocks - payable,411122,account.data_account_type_equity
l10n_vn.1_chart4112,Thặng dư vốn cổ phần,Capital surplus,4112,account.data_account_type_equity
l10n_vn.1_chart4113,Quyền chọn chuyển đổi trái phiếu,Conversion options on convertible bonds,4113,account.data_account_type_equity
l10n_vn.1_chart4118,Vốn khác,Other capital,4118,account.data_account_type_equity
l10n_vn.1_chart412,Chênh lệch đánh giá lại tài sản,Differences upon asset revaluation,412,account.data_account_type_equity
__export__.account_account_221_70b8f457,Chênh lệch tỷ giá hối đoái,Exchange rate differences,413,account.data_account_type_equity
l10n_vn.1_chart4131,Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Exchange rate differences upon revaluation of monetary items denominated in foreign currency,4131,account.data_account_type_equity
l10n_vn.1_chart4132,Chênh lệch tỷ giá hối đoái trong giai đoạn trước hoạt động,Exchange rate differences in pre-operating period,4132,account.data_account_type_equity
l10n_vn.1_chart414,Quỹ đầu tư phát triển,Investment and development fund,414,account.data_account_type_equity
l10n_vn.1_chart417,Quỹ hỗ trợ sắp xếp doanh nghiệp,Enterprise reorganization assistance fund,417,account.data_account_type_equity
l10n_vn.1_chart418,Các quỹ khác thuộc vốn chủ sở hữu,Other equity funds,418,account.data_account_type_equity
l10n_vn.1_chart419,Cổ phiếu quỹ,Treasury stocks,419,account.data_account_type_equity
__export__.account_account_222_b7df9239,Lợi nhuận sau thuế chưa phân phối,Undistributed profit after tax,421,account.data_account_type_equity
l10n_vn.1_chart4211,Lợi nhuận chưa phân phối năm trước,Undistributed profit after tax brought forward,4211,account.data_account_type_equity
l10n_vn.1_chart4212,Lợi nhuận chưa phân phối năm nay,Undistributed profit after tax for the current year,4212,account.data_account_type_equity
l10n_vn.1_chart441,Ngồn vố đầu tư xây dựng cơ bản,Capital construction investment funds,441,account.data_account_type_equity
__export__.account_account_223_be0afb16,Nguồn kinh phí sự nghiệp,Non-business funds,461,account.data_account_type_equity
l10n_vn.1_chart4611,Nguồn kinh phí sự nghiệp năm trước,Non-business funds bought forward,4611,account.data_account_type_equity
l10n_vn.1_chart4612,Nguồn kinh phí sự nghiệp năm nay,Non-business funds for the current year,4612,account.data_account_type_revenue
l10n_vn.1_chart466,Nguồn kinh phí đã hình thành TSCĐ,Non-business funds used for fixed asset acquisitions,466,account.data_account_type_equity
__export__.account_account_224_0e79e0c5,Doanh thu bán hàng và cung cấp dịch vụ,Revenue gained from sale of goods and provision of services,511,account.data_account_type_revenue
l10n_vn.1_chart5111,Doanh thu bán hàng hóa,Revenue gained from sale of goods,5111,account.data_account_type_revenue
l10n_vn.1_chart5112,Doanh thu bán các thành phẩm,Revenue gained from sale of finished goods,5112,account.data_account_type_revenue
l10n_vn.1_chart5113,Doanh thu cung cấp dịch vụ,Revenue gained from provision of services,5113,account.data_account_type_revenue
l10n_vn.1_chart5114,"Doanh thu trợ cấp, trợ giá",Revenue gained from government grants or subsidies,5114,account.data_account_type_revenue
l10n_vn.1_chart5117,Doanh thu kinh doanh bất động sản đầu tư,Revenue gained from trade in investment real property,5117,account.data_account_type_revenue
l10n_vn.1_chart5118,Doanh thu khác,Others revenue,5118,account.data_account_type_revenue
l10n_vn.1_chart515,Doanh thu hoạt động tài chính,Revenue gained from financial transactions,515,account.data_account_type_revenue
__export__.account_account_225_8134c028,Các khoản giảm trừ doanh thu,Revenue deductions,521,account.data_account_type_revenue
l10n_vn.1_chart5211,Chiết khấu thương mại,Trade discounts,5211,account.data_account_type_revenue
l10n_vn.1_chart5212,Giảm giá hàng bán,Sales rebates,5212,account.data_account_type_revenue
l10n_vn.1_chart5213,Hàng bán bị trả lại,Sales returns,5213,account.data_account_type_expenses
__export__.account_account_226_5c0e4115,Mua hàng,Purchases,611,account.data_account_type_expenses
l10n_vn.1_chart6111,"Mua nguyên liệu, vật liệu",Purchases of raw materials,6111,account.data_account_type_expenses
l10n_vn.1_chart6112,Mua hàng hóa,Purchases of goods,6112,account.data_account_type_expenses
l10n_vn.1_chart621,"Chi phí nguyên liệu, vật liệu trực tiếp",Direct raw material costs,621,account.data_account_type_expenses
l10n_vn.1_chart622,Chi phí nhân công trực tiếp,Direct labour costs,622,account.data_account_type_expenses
__export__.account_account_227_cdd2fdae,Chi phí sử dụng máy thi công,Costs of construction machinery,623,account.data_account_type_expenses
l10n_vn.1_chart6231,Chi phí nhân công,Labour costs,6231,account.data_account_type_expenses
l10n_vn.1_chart6232,Chi phí vật liệu,Raw material costs,6232,account.data_account_type_expenses
l10n_vn.1_chart6233,Chi phí dụng cụ sản xuất,Costs of production tools and instruments,6233,account.data_account_type_expenses
l10n_vn.1_chart6234,Chi phí khấu hao máy thi công,Cost of amortization of construction machinery,6234,account.data_account_type_expenses
l10n_vn.1_chart6237,Chi phí dịch vụ mua ngoài,Outsourced service costs,6237,account.data_account_type_expenses
l10n_vn.1_chart6238,Chi phí bằng tiền khác,Other monetary expenses,6238,account.data_account_type_expenses
__export__.account_account_228_ee500cd8,Chi phí sản xuất chung,Production overheads,627,account.data_account_type_expenses
l10n_vn.1_chart6271,Chi phí nhân viên phân xưởng,Factory staff costs,6271,account.data_account_type_expenses
l10n_vn.1_chart6272,Chi phí vật liệu,Raw material costs,6272,account.data_account_type_expenses
l10n_vn.1_chart6273,Chi phí dụng cụ sản xuất,Costs of production tools and instruments,6273,account.data_account_type_expenses
l10n_vn.1_chart6274,Chi phí khấu hao TSCĐ,Cost of amortization of fixed assets,6274,account.data_account_type_expenses
l10n_vn.1_chart6277,Chi phí dịch vụ mua ngoài,Outsourced service costs,6277,account.data_account_type_expenses
l10n_vn.1_chart6278,Chi phí bằng tiền khác,Other monetary expenses,6278,account.data_account_type_expenses
l10n_vn.1_chart631,Giá thành sản xuất,Production costs,631,account.data_account_type_expenses
l10n_vn.1_chart632,Giá vốn hàng bán,Cost price,632,account.data_account_type_expenses
l10n_vn.1_chart635,Chi phí tài chính,Financial expenses,635,account.data_account_type_expenses
__export__.account_account_229_4c062077,Chi phí lãi vay,Interest expense,6351,account.data_account_type_expenses
__export__.account_account_254_03384875,Chi phí tài chính khác,Other interest expense,6358,account.data_account_type_expenses
__export__.account_account_230_327c5cc9,Chi phí bán hàng,Selling expenses,641,account.data_account_type_expenses
l10n_vn.1_chart6411,Chi phí nhân viên,Staff expenses,6411,account.data_account_type_expenses
l10n_vn.1_chart6412,"Chi phí vật liệu, bao bì",Raw and packing material costs,6412,account.data_account_type_expenses
l10n_vn.1_chart6413,"Chi phí dụng cụ, đồ dùng",Costs of tools and instruments,6413,account.data_account_type_expenses
l10n_vn.1_chart6414,Chi phí khấu hao TSCĐ,Costs of amortization of fixed assets,6414,account.data_account_type_expenses
l10n_vn.1_chart6415,Chi phí bảo hành,Warranty expenses,6415,account.data_account_type_expenses
l10n_vn.1_chart6417,Chi phí dịch vụ mua ngoài,Outsourced service costs,6417,account.data_account_type_expenses
l10n_vn.1_chart6418,Chi phí bằng tiền khác,Other monetary expenses,6418,account.data_account_type_expenses
__export__.account_account_231_889f9133,Chi phí quản lý doanh nghiệp,General administrative expenses,642,account.data_account_type_expenses
l10n_vn.1_chart6421,Chi phí nhân viên quản lý,Management staff costs,6421,account.data_account_type_expenses
l10n_vn.1_chart6422,Chi phí vật liệu quản lý,Office supply expenses,6422,account.data_account_type_expenses
l10n_vn.1_chart6423,Chi phí đồ dùng văn phòng,Office furniture expenses,6423,account.data_account_type_expenses
l10n_vn.1_chart6424,Chi phí khấu hao tài sản cố định,Costs of amortization of fixed assets,6424,account.data_account_type_expenses
l10n_vn.1_chart6425,"Thuế, phí và lệ phí","Taxes, fees and charges",6425,account.data_account_type_expenses
l10n_vn.1_chart6426,Chi phí dự phòng,Provisions,6426,account.data_account_type_expenses
l10n_vn.1_chart6427,Chi phí dịch vụ mua ngoài,Outsourced service costs,6427,account.data_account_type_expenses
l10n_vn.1_chart6428,Chi phí bằng tiền khác,Other monetary expenses,6428,account.data_account_type_expenses
l10n_vn.1_chart711,Thu nhập khác,Other income,711,account.data_account_type_other_income
l10n_vn.1_chart811,Chi phí khác,Other expenses,811,account.data_account_type_expenses
l10n_vn.1_chart8211,Chi phí thuế TNDN hiện hành,Current tax expenses,8211,account.data_account_type_expenses
l10n_vn.1_chart8212,Chi phí thuế TNDN hoãn lại,Deferred tax expenses,8212,account.data_account_type_current_liabilities
__export__.account_account_255_1899c7a3,Xác định kết quả kinh doanh,Determination of business outcomes,911,vn_accounting.data_account_type_financial_income
